topic_id,topic_keywords,collection_key,discipline,ga,title,link
0,"github, 2025, pull, qa, development, google",D2,D2,,Announcing the 2025 DORA Report: State of AI-Assisted Software Development,https://cloud.google.com/blog/products/ai-machine-learning/announcing-the-2025-dora-report/
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,From adoption to impact: Putting the DORA AI Capabilities Model to work,https://cloud.google.com/blog/products/ai-machine-learning/from-adoption-to-impact-putting-the-dora-ai-capabilities-model-to-work/
0,"github, 2025, pull, qa, development, google",D2,D2,,How Google does it: Your guide to platform engineering,https://cloud.google.com/blog/products/application-modernization/a-guide-to-platform-engineering/
0,"github, 2025, pull, qa, development, google",D2,D2,,"New in Looker: self-service Explores, tabbed dashboards, and custom themes",https://cloud.google.com/blog/products/business-intelligence/looker-self-service-explores-tabbed-dashboards-custom-themes/
0,"github, 2025, pull, qa, development, google",D2,D2,,5 best practices for Managed Lustre on Google Kubernetes Engine,https://cloud.google.com/blog/products/containers-kubernetes/gke-managed-lustre-csi-driver-for-aiml-and-hpc-workloads/
5,"api, rest, productled, rest api, productled growth, growth",D2,D2,,A smart investment: FINRA builds a culture of improvement with DORA,https://cloud.google.com/blog/topics/financial-services/finra-builds-a-culture-of-improvement-with-dora-and-devops/
0,"github, 2025, pull, qa, development, google",D2,D2,,"Agentic AI, MCP, and spec-driven development: Top blog posts of 2025",https://github.blog/developer-skills/agentic-ai-mcp-and-spec-driven-development-top-blog-posts-of-2025/
4,"ai, 30, builders, ai turns, week, how ai",D2,D2,,Scaling AI opportunity across the globe: Learnings from GitHub and Andela,https://github.blog/developer-skills/career-growth/scaling-ai-opportunity-across-the-globe-learnings-from-github-and-andela/
0,"github, 2025, pull, qa, development, google",D2,D2,,How GitHub engineers tackle platform problems,https://github.blog/engineering/infrastructure/how-github-engineers-tackle-platform-problems/
0,"github, 2025, pull, qa, development, google",D2,D2,,"GitHub Actions, Arm64, and the future of automotive software development",https://github.blog/enterprise-software/ci-cd/github-actions-arm64-and-the-future-of-automotive-software-development/
